Lough,RepresentativeMonitoringPoints,SampleDate,Species,Category,EColi,CurrentStatus,Comments
Carlingford," Production Area 4 C7 - AFFNI 73 - represents C9 AFFNI39, C15 AFFNI89 and C17 AFFNI92",2021-03-01,Oysters,A,20,OPEN,
Carlingford,Production Area 6  C11 - AFFNI 84,2021-01-05,Oysters,A,45,OPEN ,
Carlingford,Production Area 6  C11 - AFFNI 84,2021-02-02,Oysters,A,130,OPEN,
Carlingford,Production Area 6  C11 - AFFNI 84,2021-03-01,Oysters,A,110,OPEN,
Dundrum Bay,DB1 - AFFNI95A,2021-01-18,Oysters,A,130,OPEN ,
Dundrum Bay,DB1 - AFFNI95A,2021-02-08,Oysters,B,330,OPEN,
Dundrum Bay,DB2 - AFFNI95B,2021-01-18,Mussels,B,2300,OPEN ,
Dundrum Bay,DB2 - AFFNI95B,2021-02-22,Mussels,C,7900,OPEN,
Dundrum Bay,DB1 - AFFNI95A,2021-01-18,Mussels,B,450,OPEN ,
Dundrum Bay,DB1 - AFFNI95A,2021-02-08,Mussels,B,2300,OPEN,
Larne Lough,RMP 1 - L3 - AFFNI88,2021-01-06,Oysters,A,<18,OPEN,
Larne Lough,RMP 1 - L3 - AFFNI88,2021-02-03,Oysters,A,130,OPEN,
Larne Lough,RMP 1 - L3 - AFFNI88,2021-03-01,Oysters,A,45,OPEN,
Killough,K1 AFFNI18,2021-01-18,Oysters,A,130,OPEN,
Killough,K1 AFFNI18,2021-02-08,Oysters,B,490,OPEN,
Lough Foyle,Production Area 3 ,2021-01-12,Mussels (represents oysters in the fishery),B,330,OPEN ,
Lough Foyle,Production Area 3 ,2021-02-10,Mussels (represents oysters in the fishery),B,330,OPEN,
Lough Foyle,Production Area 4 ,2021-01-12,Mussels (represents oysters in the fishery),A,20,OPEN ,
Lough Foyle,Production Area 4 ,2021-02-10,Mussels (represents oysters in the fishery),A,230,OPEN,
Strangford Lough,S2 - AFFNI42,2021-01-04,Mussels,A,<18,OPEN ,
Strangford Lough,S2 - AFFNI42,2021-02-01,Mussels,P,"180,000",CLOSED,Bed closed on 03/02/2021 due to a prohibited micro result. Bed will remian closed until two compliant samples are received.
Strangford Lough,S2 - AFFNI42,2021-02-09,Mussels,A,<18,CLOSED,First compliant sample since closure clear. An additonal compliant sample is required before the bed can be reopened. 
Strangford Lough,S2 - AFFNI42,2021-02-16,Mussels,A,<18,OPEN,Second compliant result received. Bed reopened 19/02/2021
Strangford Lough,S2 - AFFNI42,2021-03-01,Mussels,B,"1,300",OPEN,Outwith investigatory email issued 03/03/2021
Strangford Lough,S7 - AFFNI76 - represents S6 AFFNI93,2021-01-05,Oysters,A,220,OPEN ,
Strangford Lough,S7 - AFFNI76 - represents S6 AFFNI93,2021-02-02,Oysters,A,20,OPEN,
Strangford Lough,S7 - AFFNI76 - represents S6 AFFNI93,2021-03-02,Oysters,A,18,OPEN,
